source_row,targetid,split
23375,39627426770193510,test
23574,39627426967322906,test
23090,39627427122519619,test
8075,39627427273511273,test
565,39627427311256876,test
23378,39627432612864931,test
5856,39627433053265424,test
23021,39627433053265424,test
8085,39627433120374075,test
8054,39627433170699112,test
5855,39627438937869589,test
8089,39627438950452864,test
23593,39627444486930658,test
23579,39627444516295058,test
23530,39627444528875628,test
5866,39627444755370162,test
8095,39627444814092259,test
23409,39627450170219030,test
23407,39627450182798650,test
23418,39627450203767500,test
23713,39627450476399049,test
23128,39627450530927685,test
577,39627450749031184,test
8120,39627450749031184,test
23410,39627456046434766,test
23415,39627456071599959,test
23615,39627456193237089,test
23127,39627456386177927,test
5865,39627456482640479,test
23540,39627462140761521,test
23722,39627462203672459,test
23048,39627462337890436,test
8134,39627462484689823,test
23607,39627467958261795,test
23720,39627468092475464,test
23068,39627468235081450,test
23364,39627473771563590,test
5927,39627473909979806,test
23134,39627474027415007,test
23723,39627479865890219,test
23147,39627479928804626,test
581,39627480146903382,test
24221,39627485603693437,test
23624,39627485628860868,test
23626,39627485637254328,test
23628,39627485641445582,test
23755,39627485763080633,test
23191,39627485838578673,test
8192,39627486014739215,test
23431,39627491425386908,test
23369,39627491446360857,test
23748,39627491660271319,test
23735,39627491693828505,test
23142,39627491727380380,test
23200,39627491744155348,test
23192,39627491748349194,test
23178,39627491802876693,test
23176,39627491811267901,test
23177,39627491811267932,test
8519,39627491828045084,test
8114,39627491907734402,test
24245,39627497377110041,test
24215,39627497435828388,test
23677,39627497502938426,test
23765,39627497557464463,test
23739,39627497607795557,test
23187,39627497695873407,test
23172,39627497725231668,test
636,39627497750400870,test
8516,39627497750400870,test
8493,39627497813315117,test
8152,39627497863647414,test
24292,39627503366575533,test
23672,39627503442070586,test
23674,39627503442071992,test
23766,39627503463043225,test
23782,39627503500788802,test
23193,39627503584677986,test
8609,39627503639201762,test
8514,39627503681146458,test
23683,39627509356042394,test
23770,39627509406372682,test
23807,39627509460898537,test
23809,39627509460901532,test
663,39627509557366591,test
8616,39627509557366788,test
8504,39627509624473884,test
24407,39627515127404564,test
24283,39627515152568083,test
24233,39627515186121341,test
23699,39627515240647162,test
23703,39627515261618142,test
8198,39627515597163883,test
24297,39627521125259313,test
23828,39627521322385764,test
23812,39627521330778593,test
23223,39627521351749362,test
8617,39627521431438724,test
8566,39627521506937576,test
8554,39627521519523576,test
24278,39627527018258713,test
23706,39627527135695902,test
23216,39627527324440827,test
666,39627527349604689,test
8316,39627527521569510,test
8227,39627527576092974,test
8225,39627527584483102,test
5968,39627533108382672,test
23988,39627533129359072,test
23212,39627533259378465,test
642,39627533351649574,test
8550,39627533351649574,test
8229,39627533532006567,test
8223,39627533536204704,test
24416,39627538892331783,test
24310,39627538992992354,test
24014,39627539034931561,test
23978,39627539081075950,test
23848,39627539177538132,test
8226,39627539466944894,test
24333,39627544890182051,test
23969,39627545007625430,test
23836,39627545099899502,test
23845,39627545116676658,test
8237,39627545427054751,test
17247,39627546857310956,test
23995,39627551001288022,test
23994,39627551005478114,test
23906,39627551043224496,test
23839,39627551055807934,test
23868,39627551076781317,test
23846,39627551076782047,test
8651,39627551127114617,test
8589,39627551240355863,test
8326,39627551299078194,test
24359,39627556831364902,test
5948,39627557028496401,test
23865,39627557028496401,test
23878,39627557028500240,test
23877,39627557032690361,test
8568,39627557229829370,test
597,39627557259184673,test
8334,39627557259184673,test
592,39627557288546896,test
11132,39627559427641700,test
24440,39627562715980846,test
24444,39627562741139640,test
24443,39627562741140101,test
23913,39627562950857259,test
5949,39627562984410924,test
23879,39627562988605097,test
8669,39627563055710298,test
8637,39627563097656850,test
4062,39627564733436447,test
11170,39627565324830850,test
24432,39627568688666126,test
24358,39627568755773059,test
24360,39627568759967131,test
24326,39627568789324997,test
24519,39627568810297080,test
24040,39627568843855786,test
8667,39627569003238153,test
8668,39627569011622995,test
8812,39627569179396227,test
599,39627569217146962,test
10286,39627571159109688,test
11291,39627571423350906,test
24345,39627574707488755,test
24327,39627574745242149,test
24033,39627574829125236,test
24053,39627574833316444,test
24083,39627574879456050,test
5952,39627574946564951,test
23886,39627574946564951,test
1021,39627574967535446,test
9488,39627574967535446,test
656,39627575084974148,test
8351,39627575202418158,test
8254,39627575261135869,test
4065,39627576662032863,test
17270,39627576699785798,test
10408,39627576968218743,test
1330,39627576980800164,test
14399,39627577211487078,test
11176,39627577253433901,test
24048,39627580801815458,test
23942,39627580873118209,test
9500,39627580940226870,test
9501,39627580948612112,test
8699,39627580961198493,test
8695,39627580965392204,test
8693,39627580965393005,test
8679,39627580990555340,test
8688,39627580994750371,test
8724,39627581015720946,test
8823,39627581103805251,test
8825,39627581107999468,test
738,39627581133166413,test
8261,39627581250603156,test
25011,39627582320154625,test
25006,39627582332736890,test
25005,39627582332737275,test
17266,39627582672471768,test
4056,39627582743773472,test
10437,39627582844440197,test
10418,39627582928325983,test
10298,39627583049960529,test
10300,39627583058347260,test
10316,39627583083512126,test
10291,39627583133843700,test
11180,39627583226122404,test
11299,39627583377115900,test
10983,39627583490361262,test
24373,39627586694811607,test
24377,39627586703201588,test
24555,39627586728364419,test
24577,39627586757725006,test
23948,39627586866779553,test
8871,39627587084879289,test
8817,39627587122628585,test
8842,39627587131017319,test
8377,39627587185542125,test
25058,39627588292841503,test
17356,39627588468998289,test
17296,39627588716462917,test
4053,39627588745824513,test
17729,39627588812933817,test
10532,39627588951345698,test
11150,39627589307861419,test
11305,39627589333027572,test
11042,39627589416914079,test
26801,39627589718907840,test
24479,39627592642337712,test
24391,39627592671693712,test
24071,39627592759772631,test
24090,39627592797520159,test
9549,39627592873019507,test
8604,39627593044987541,test
736,39627593099513072,test
8820,39627593103708633,test
25112,39627594152284067,test
24987,39627594269722432,test
24972,39627594345221465,test
19107,39627594370385623,test
10440,39627594810789103,test
10484,39627594852729221,test
10302,39627595007920840,test
10351,39627595020505228,test
10299,39627595024696294,test
14415,39627595171498205,test
1605,39627595267966187,test
11207,39627595267966187,test
11307,39627595322495108,test
24477,39627598631804943,test
24606,39627598673744992,test
24604,39627598682130889,test
24571,39627598719878460,test
8607,39627599038645385,test
8843,39627599109950431,test
25114,39627600158526238,test
25026,39627600326297336,test
6034,39627600338879552,test
24975,39627600338880818,test
24974,39627600347268269,test
19083,39627600385016408,test
4114,39627600494070090,test
17447,39627600573764690,test
17316,39627600653453724,test
10461,39627600854781715,test
10467,39627600867365540,test
10306,39627600989000950,test
10356,39627601030940413,test
10297,39627601081274912,test
1313,39627601093857608,test
14422,39627601169355621,test
1581,39627601278407193,test
1650,39627601311961315,test
11309,39627601311961315,test
26768,39627601639113053,test
26749,39627601651700647,test
26808,39627601714610456,test
24481,39627604625462841,test
24066,39627604747095030,test
24097,39627604780651591,test
9515,39627604877118648,test
9513,39627604881311517,test
8772,39627604956808675,test
8776,39627604965198005,test
8770,39627604969390750,test
8415,39627605145551143,test
25118,39627606135412786,test
25165,39627606185742839,test
6097,39627606202519092,test
6099,39627606206715282,test
6067,39627606278016920,test
25028,39627606307376991,test
4116,39627606475146651,test
17371,39627606500312848,test
17353,39627606521286185,test
4101,39627606630339924,test
1350,39627606844246942,test
10458,39627606852635357,test
1355,39627606873606597,test
2815,39627607112680600,test
11328,39627607326594001,test
11315,39627607343370459,test
11013,39627607406281709,test
10990,39627607452420803,test
26813,39627607708274716,test
24500,39627610640093474,test
24499,39627610640096070,test
24143,39627610744951362,test
9526,39627610925302998,test
698,39627611017579965,test
8745,39627611017579965,test
8890,39627611034357851,test
8421,39627611139215524,test
8396,39627611197931992,test
6104,39627612166819314,test
25187,39627612166819314,test
25194,39627612171012458,test
25038,39627612326199499,test
4916,39627612372342562,test
19093,39627612389119374,test
17404,39627612435251823,test
17370,39627612468808970,test
4121,39627612489779588,test
17379,39627612489780444,test
4149,39627612582055396,test
17759,39627612716270654,test
17745,39627612766601332,test
10500,39627612821130669,test
10493,39627612833714056,test
10540,39627612925988897,test
10526,39627612959542128,test
1314,39627613072789729,test
10325,39627613072789729,test
14434,39627613102147995,test
2807,39627613148283171,test
11346,39627613303476833,test
11326,39627613320249524,test
11316,39627613341224053,test
11023,39627613454470789,test
24495,39627616629562732,test
24637,39627616688280321,test
24113,39627616822497656,test
24116,39627616822498021,test
9573,39627616830888205,test
9580,39627616881214734,test
9527,39627616906384039,test
8782,39627616931545528,test
8881,39627617061570681,test
8443,39627617153847760,test
8394,39627617187400772,test
6083,39627618126922404,test
25117,39627618126922404,test
6113,39627618189840533,test
25215,39627618189840533,test
25074,39627618256948191,test
25044,39627618298893525,test
17378,39627618496023350,test
17376,39627618504410568,test
17461,39627618575718800,test
17332,39627618634436028,test
10486,39627618835759957,test
10529,39627618953202152,test
10365,39627619028701464,test
10338,39627619049671717,test
11236,39627619183887063,test
11229,39627619204860575,test
1609,39627619246804061,test
11211,39627619246804061,test
11064,39627619376829604,test
11060,39627619389408902,test
1542,39627619414576297,test
1840,39627619485879594,test
11836,39627619485879594,test
26810,39627619691403596,test
24838,39627622639996771,test
24634,39627622686131382,test
9536,39627622904238445,test
9068,39627623021679575,test
8946,39627623101370703,test
8427,39627623122338524,test
8439,39627623134924647,test
25177,39627624204473094,test
6071,39627624254804798,test
25075,39627624254804798,test
19121,39627624355466648,test
17395,39627624460323602,test
17558,39627624523241118,test
17487,39627624565182704,test
17328,39627624640676139,test
4301,39627624774894675,test
17788,39627624791676055,test
4322,39627624800060365,test
10473,39627624883945967,test
10592,39627624988804986,test
10381,39627625030749570,test
11350,39627625311769654,test
11351,39627625324352745,test
11336,39627625328546806,test
11335,39627625336932940,test
11385,39627625357902239,test
11036,39627625425011256,test
11032,39627625433403283,test
24840,39627628642046414,test
24632,39627628667209049,test
24659,39627628683987540,test
24157,39627628767875303,test
24169,39627628793038913,test
1084,39627628830788597,test
9546,39627628897898951,test
9621,39627628935646226,test
710,39627628944034653,test
8792,39627628977588176,test
8794,39627628981784425,test
846,39627629015335242,test
9086,39627629015335242,test
9064,39627629019533645,test
834,39627629023727626,test
760,39627629048889506,test
8897,39627629048889506,test
29853,39627629048889506,test
8435,39627629145363033,test
25142,39627630101664150,test
25129,39627630122635460,test
6165,39627630151994715,test
25056,39627630315573406,test
4981,39627630328152960,test
4973,39627630340736006,test
19150,39627630441398571,test
4138,39627630445597819,test
17413,39627630445597819,test
17893,39627630705643414,test
4372,39627630705645159,test
17890,39627630705645159,test
17767,39627630760169201,test
4295,39627630772752771,test
17749,39627630772752771,test
10508,39627630823080947,test
10709,39627630894387149,test
10375,39627631007632793,test
10373,39627631011827008,test
10369,39627631024409286,test
2910,39627631091518208,test
14447,39627631108294960,test
14452,39627631129267742,test
14428,39627631150236456,test
1634,39627631204765634,test
11243,39627631213150814,test
11250,39627631234122208,test
11252,39627631234126214,test
11217,39627631263483656,test
11038,39627631443840345,test
12018,39627631460617967,test
11853,39627631477395960,test
11856,39627631506754115,test
6445,39627631628393911,test
26773,39627631628393911,test
26838,39627631691303223,test
26817,39627631729051868,test
24839,39627634652488533,test
24641,39627634711200157,test
24709,39627634732172403,test
9617,39627634933499115,test
8803,39627634975441055,test
8916,39627635084493020,test
768,39627635088691302,test
8452,39627635180965630,test
6119,39627636187598931,test
25232,39627636187598931,test
25218,39627636200178978,test
6115,39627636204372383,test
6078,39627636284067663,test
25096,39627636284067663,test
25055,39627636317621329,test
19264,39627636330202797,test
4936,39627636426672581,test
17420,39627636485392035,test
17508,39627636607027982,test
17307,39627636699300930,test
17889,39627636720273494,test
17902,39627636732856002,test
4377,39627636732857875,test
17901,39627636732857875,test
17779,39627636758021811,test
10612,39627636984515627,test
10385,39627637051626358,test
10390,39627637060014277,test
10342,39627637072593620,test
14480,39627637194228535,test
11267,39627637215204896,test
11361,39627637320058458,test
11359,39627637341032875,test
11393,39627637382977712,test
1555,39627637420721937,test
1903,39627637479442397,test
11852,39627637492027974,test
26776,39627637584301151,test
26943,39627637647217097,test
26843,39627637689160232,test
24862,39627640658727675,test
9635,39627640922965394,test
9628,39627640948130985,test
727,39627640973300096,test
722,39627640977493638,test
8800,39627640977493638,test
719,39627640998462134,test
8907,39627641086543194,test
8451,39627641195599083,test
9259,39627641203988291,test
25361,39627642177063388,test
6179,39627642189644281,test
25383,39627642189644281,test
6120,39627642202227217,test
25228,39627642231590831,test
6127,39627642239975815,test
25253,39627642273532685,test
25088,39627642323865513,test
4975,39627642365807392,test
19254,39627642365807392,test
19255,39627642370003176,test
19162,39627642445496682,test
17563,39627642558744495,test
17336,39627642692965347,test
17793,39627642835571603,test
10727,39627642894289788,test
10716,39627642932038052,test
10603,39627643015925657,test
11284,39627643246609719,test
1673,39627643359854664,test
11092,39627643435356441,test
11873,39627643519238478,test
11859,39627643531824112,test
26788,39627643640876861,test
26816,39627643737348840,test
24658,39627646706915882,test
9612,39627646908235958,test
9594,39627646929211132,test
8466,39627647193451953,test
25227,39627648233639618,test
25275,39627648300745134,test
19253,39627648376245130,test
19276,39627648388827816,test
19157,39627648472716470,test
4213,39627648581764869,test
17491,39627648611126982,test
4161,39627648615321838,test
4344,39627648812453530,test
10514,39627648896340365,test
10731,39627648929893235,test
1398,39627648980227729,test
11259,39627649278017795,test
1676,39627649340934476,test
11406,39627649387071145,test
11418,39627649399657950,test
11098,39627649433208773,test
12097,39627649475149994,test
12033,39627649479346605,test
1907,39627649508706936,test
12027,39627649508706936,test
11956,39627649563231449,test
6451,39627649626147102,test
6501,39627649701649699,test
26867,39627649772950747,test
24864,39627652692183031,test
24656,39627652721548490,test
24721,39627652809626159,test
9753,39627652847374939,test
9729,39627652910287440,test
8999,39627653136780498,test
8969,39627653161948443,test
8963,39627653166140260,test
8469,39627653208086194,test
25367,39627654206324840,test
19294,39627654361517966,test
19271,39627654378291323,test
17490,39627654629951546,test
4106,39627654697058445,test
17917,39627654785140554,test
4324,39627654839668357,test
17798,39627654839668357,test
17807,39627654873223173,test
4332,39627654877414725,test
17813,39627654877414725,test
1440,39627654940333694,test
10733,39627654948719339,test
2934,39627655112294621,test
2847,39627655217152602,test
14483,39627655217152602,test
11400,39627655401706830,test
11401,39627655405898089,test
11115,39627655456232000,test
11107,39627655464616936,test
11871,39627655565284170,test
11904,39627655607226747,test
26794,39627655636584848,test
26860,39627655779193071,test
24866,39627658706815797,test
24720,39627658815869275,test
24719,39627658832646486,test
24194,39627658853617099,test
9606,39627658945888977,test
9677,39627658950087276,test
1070,39627658954282048,test
871,39627659054940564,test
8972,39627659189164064,test
25238,39627660254513358,test
6146,39627660292263399,test
6129,39627660304846816,test
25102,39627660363563549,test
19302,39627660376146279,test
17530,39627660673943898,test
4401,39627660757827877,test
17941,39627660757827877,test
17802,39627660866882446,test
10766,39627660942381995,test
10736,39627660992709455,test
10581,39627661013681770,test
10588,39627661013685415,test
10400,39627661105958712,test
14625,39627661156289218,test
2882,39627661227594866,test
14494,39627661240176497,test
14516,39627661282117404,test
1744,39627661303091272,test
11574,39627661311477483,test
1728,39627661370196583,test
11546,39627661370196583,test
11377,39627661386976613,test
11372,39627661386976722,test
11456,39627661403756001,test
11422,39627661458281982,test
1688,39627661462477137,test
12102,39627661508608513,test
1912,39627661521191394,test
11972,39627661588304103,test
11947,39627661600884801,test
1875,39627661600885763,test
11949,39627661600887314,test
11912,39627661630247600,test
26962,39627661739296058,test
26892,39627661798016559,test
6182,39627666248174682,test
19216,39627666478860680,test
19169,39627666516611990,test
17594,39627666583716984,test
17951,39627666780851234,test
17912,39627666797629614,test
17787,39627666843764213,test
4349,39627666873127865,test
10729,39627666986375269,test
10675,39627667045094185,test
10399,39627667128978141,test
14553,39627667258999691,test
14555,39627667263195076,test
14514,39627667313528339,test
11274,39627667317722331,test
11465,39627667443549339,test
11464,39627667443549737,test
12126,39627667523241964,test
12084,39627667556800050,test
26798,39627667695206856,test
26994,39627667728763633,test
26902,39627667800064206,test
24729,39627670874494256,test
9676,39627671000321456,test
859,39627671159705071,test
821,39627671197455487,test
9021,39627671197455487,test
9282,39627671293921721,test
6184,39627672237643686,test
25395,39627672258614046,test
6181,39627672271196118,test
25321,39627672317329836,test
19284,39627672489298595,test
17604,39627672589962330,test
17590,39627672648685370,test
17584,39627672669652678,test
17528,39627672715792731,test
4392,39627672833229852,test
17926,39627672841618777,test
17829,39627672925504849,test
1456,39627673021974116,test
10750,39627673021975121,test
10665,39627673084891939,test
2917,39627673198136149,test
14647,39627673206524098,test
14734,39627673248465380,test
14563,39627673256857713,test
2868,39627673298796892,test
14513,39627673323965834,test
14850,39627673340742328,test
11596,39627673357519298,test
1734,39627673395270407,test
1922,39627673604982760,test
12060,39627673621759824,test
11951,39627673646925811,test
11928,39627673709840231,test
26971,39627673793726305,test
26967,39627673806312662,test
26900,39627673818891907,test
24913,39627676826209232,test
9690,39627677065282570,test
9009,39627677207888940,test
25428,39627678260658629,test
25390,39627678323573267,test
25317,39627678369710568,test
19184,39627678596205694,test
4221,39627678621370961,test
4220,39627678642341901,test
17535,39627678722032000,test
17954,39627678814307184,test
17920,39627678881420376,test
17988,39627678898195575,test
4355,39627678919164709,test
10789,39627679032411181,test
10656,39627679116297945,test
15500,39627679179213817,test
14568,39627679284070296,test
14577,39627679288265585,test
14581,39627679321818939,test
11648,39627679456037326,test
11447,39627679523149306,test
11431,39627679535729161,test
1929,39627679590253022,test
12094,39627679623808945,test
11985,39627679690918454,test
1869,39627679711888136,test
26963,39627679820942563,test
26893,39627679867083335,test
26913,39627679883857843,test
24893,39627682819868529,test
1074,39627683046363428,test
1064,39627683100890829,test
9660,39627683100890829,test
9144,39627683163804671,test
883,39627683167994430,test
9104,39627683209942731,test
900,39627683218327021,test
29861,39627683218327021,test
9300,39627683314801123,test
7263,39627684254324012,test
25426,39627684275293851,test
25452,39627684346597383,test
25295,39627684426288797,test
19327,39627684497592398,test
5011,39627684543728167,test
10792,39627685059625601,test
1463,39627685080600951,test
10753,39627685080600951,test
10685,39627685160292980,test
1413,39627685177068089,test
3265,39627685193843033,test
15499,39627685198037391,test
14689,39627685219012448,test
14509,39627685378394010,test
14510,39627685378397576,test
14852,39627685390976790,test
11602,39627685403563460,test
11608,39627685420339222,test
1764,39627685479057178,test
11496,39627685525194778,test
11438,39627685541971690,test
2277,39627685579719972,test
13062,39627685579719972,test
12135,39627685596500078,test
12130,39627685613275397,test
12153,39627685617469002,test
12074,39627685638439263,test
12179,39627685667802487,test
24897,39627688855470366,test
24803,39627688935164292,test
9803,39627689056796852,test
9162,39627689245545161,test
908,39627689266512158,test
9295,39627689342013193,test
966,39627689350403367,test
7250,39627690273145784,test
311,39627690277343749,test
6193,39627690323481659,test
19192,39627690654829177,test
17625,39627690705160831,test
4241,39627690705162219,test
17621,39627690709356062,test
4666,39627690856153817,test
10760,39627691107816545,test
10651,39627691212669137,test
10649,39627691212674051,test
14728,39627691330112021,test
14730,39627691334308331,test
14602,39627691359471683,test
13078,39627691602740762,test
13056,39627691611133413,test
13074,39627691619522030,test
1927,39627691682434019,test
12087,39627691682434029,test
12195,39627691720180557,test
11943,39627691783096691,test
12345,39627691787289291,test
27014,39627691837624815,test
27060,39627691879566255,test
24917,39627694928823807,test
10009,39627694991741826,test
9989,39627695004320503,test
9163,39627695289533282,test
8989,39627695352452438,test
9302,39627695377618406,test
25444,39627696359081177,test
19861,39627696522658258,test
19860,39627696526855253,test
19340,39627696547826901,test
19368,39627696602353884,test
4965,39627696669463018,test
19241,39627696669463830,test
19481,39627696682042620,test
17544,39627696841427066,test
10834,39627697181166638,test
10700,39627697210524992,test
14718,39627697294413781,test
14746,39627697340550620,test
3022,39627697445408743,test
14888,39627697445408743,test
13079,39627697629959374,test
13055,39627697646731722,test
2284,39627697655124349,test
1946,39627697705456522,test
1887,39627697793533325,test
6019,39627700968625766,test
24812,39627700989596494,test
24810,39627700993789479,test
1171,39627701245445281,test
9174,39627701304166996,test
903,39627701329331783,test
7283,39627702352743908,test
25443,39627702390494367,test
25441,39627702415656835,test
19867,39627702545679157,test
17639,39627702767979505,test
4238,39627702797337377,test
17627,39627702797337377,test
4196,39627702851867055,test
17552,39627702851867055,test
17555,39627702860253976,test
17551,39627702889614614,test
17976,39627702986081149,test
4428,39627703032222413,test
17990,39627703032222413,test
4363,39627703078356310,test
18100,39627703103523388,test
10805,39627703145464003,test
10796,39627703162243224,test
10844,39627703195799669,test
10839,39627703208379809,test
14736,39627703397124858,test
14593,39627703447455097,test
3017,39627703464231407,test
3021,39627703476814314,test
11633,39627703514565643,test
11636,39627703527147570,test
11619,39627703552315512,test
11618,39627703556505882,test
11666,39627703573285510,test
11662,39627703594259097,test
11520,39627703619422413,test
11535,39627703627811634,test
11536,39627703627813083,test
11511,39627703632008846,test
13153,39627703648784840,test
12262,39627703745254376,test
12196,39627703774612540,test
12190,39627703787193542,test
27025,39627703904636888,test
27018,39627703917220288,test
24936,39627707000031345,test
10030,39627707046171888,test
1110,39627707109083185,test
9774,39627707117473491,test
9826,39627707134250740,test
9835,39627707138445953,test
1121,39627707163608390,test
9810,39627707163608390,test
1170,39627707276857855,test
9901,39627707276858350,test
907,39627707356550503,test
9339,39627707423658561,test
9332,39627707465597992,test
7289,39627708405123803,test
25436,39627708442872237,test
25481,39627708463843105,test
25353,39627708535146243,test
19330,39627708631617786,test
19483,39627708765833487,test
17637,39627708795194220,test
17557,39627708900050851,test
4430,39627709072019521,test
4491,39627709118157864,test
4469,39627709130736173,test
18105,39627709130736173,test
10807,39627709176878068,test
1480,39627709202041302,test
1491,39627709223014719,test
10695,39627709290123062,test
3271,39627709353035506,test
14761,39627709445311847,test
2909,39627709470477694,test
13157,39627709688582003,test
13087,39627709692774287,test
13114,39627709726328855,test
11996,39627709852160958,test
26928,39627710019929126,test
6484,39627710045095076,test
22633,39627710057678364,test
10032,39627713077576889,test
9842,39627713182434366,test
921,39627713375373353,test
9190,39627713375373353,test
920,39627713379568851,test
9186,39627713379568851,test
923,39627713400541765,test
9193,39627713400541765,test
9336,39627713446678879,test
976,39627713450871763,test
9335,39627713450871763,test
9323,39627713484425353,test
7258,39627714361036811,test
7316,39627714390396881,test
7318,39627714398781511,test
5010,39627714658831602,test
19238,39627714763686397,test
19542,39627714763687013,test
4418,39627715036318764,test
17886,39627715136979585,test
18149,39627715149567094,test
18151,39627715157952547,test
4466,39627715187310755,test
18097,39627715187310755,test
10703,39627715325725366,test
15557,39627715329920793,test
15558,39627715329921812,test
15518,39627715350893212,test
14725,39627715405417931,test
14795,39627715430581492,test
14796,39627715434778317,test
2971,39627715447363112,test
14905,39627715568997033,test
1762,39627715606741377,test
11537,39627715694825098,test
12261,39627715820650881,test
12260,39627715820654874,test
1970,39627715866791470,test
1890,39627715870984159,test
2016,39627715921316794,test
12359,39627715946481367,test
27073,39627716021977372,test
26936,39627716080701296,test
22632,39627716093282968,test
9849,39627719197068846,test
9834,39627719205454929,test
9824,39627719243207276,test
919,39627719423561072,test
9185,39627719423561072,test
935,39627719427755459,test
7304,39627720476330538,test
6194,39627720501494176,test
25448,39627720501494176,test
25488,39627720535052507,test
19348,39627720694434678,test
19414,39627720723794370,test
19519,39627720816067301,test
4275,39627720895758661,test
17676,39627720937704479,test
4419,39627721076113678,test
18042,39627721109668704,test
18010,39627721134838663,test
18015,39627721139033014,test
18146,39627721185168442,test
10813,39627721256472267,test
1484,39627721264857718,test
10917,39627721290025887,test
10868,39627721323579986,test
15562,39627721382298499,test
15542,39627721415854991,test
14810,39627721466185370,test
14793,39627721474575922,test
14781,39627721508130021,test
14896,39627721587820878,test
14933,39627721604596270,test
11749,39627721650737824,test
1777,39627721701068012,test
1982,39627721860453035,test
12269,39627721860453035,test
1972,39627721914977402,test
1893,39627721919170475,test
12008,39627721919170475,test
2026,39627721940142121,test
12389,39627721940142121,test
12401,39627721948532267,test
24948,39627725123617209,test
10045,39627725161366289,test
9821,39627725274615828,test
9353,39627725513687294,test
986,39627725517885640,test
7259,39627726449017750,test
7327,39627726469992872,test
5137,39627726734229996,test
19880,39627726734231848,test
19398,39627726809731346,test
19539,39627726843284423,test
5061,39627726881033990,test
18587,39627727032025993,test
18109,39627727254323696,test
10915,39627727325630692,test
15552,39627727417905622,test
15527,39627727464044314,test
3277,39627727485009951,test
15533,39627727485009951,test
2989,39627727535343713,test
14610,39627727585676179,test
14957,39627727619232591,test
11747,39627727707312732,test
2320,39627727807972007,test
13131,39627727828946823,test
13120,39627727845723080,test
1984,39627727904440746,test
12271,39627727904440746,test
2036,39627727984132783,test
6552,39627728072214335,test
27092,39627728122546622,test
6538,39627728135127926,test
22644,39627728168685984,test
10042,39627731201166616,test
1206,39627731247305171,test
1209,39627731247307225,test
9852,39627731272467009,test
1132,39627731301829642,test
9840,39627731301829642,test
1174,39627731448633913,test
9903,39627731448633913,test
9920,39627731452821823,test
936,39627731515737977,test
9206,39627731515740603,test
9378,39627731599622906,test
328,39627732509786164,test
7338,39627732539151961,test
7297,39627732564316807,test
5141,39627732740476207,test
5142,39627732744669278,test
5072,39627732916636622,test
19553,39627732916636622,test
17698,39627732992134728,test
4691,39627733096994521,test
4678,39627733117964994,test
