targetid,ra,dec,split
2780791515906056,194.7307657361586,-6.853403683817683,train
2780791708844047,206.2694123451838,-6.760619805074226,train
2780795173339143,53.97355477070255,-6.485376566910752,train
2780795374665733,65.99054687183204,-6.385081762275615,train
2780796750397447,148.3841893080653,-6.408313330012788,train
2780796783951876,150.4408378290767,-6.619658612437822,train
2780797438263304,189.6626374990709,-6.561413626181462,train
2780797798973454,211.3180218568864,-6.427161804009596,train
2780801234108422,57.21441684206425,-6.129604188316789,train
2780801368326148,65.24837507713163,-6.287625168440892,train
2780802660171783,142.6218521217875,-6.218349612852191,test
2780802760835081,148.6939961701052,-6.313297509334821,train
2780803511615498,193.7551211491032,-6.153257306783821,train
2780808704163844,144.6849647025891,-6.07444417804346,train
2780808888713220,155.7453441813631,-5.92923927935386,train
2780809119399941,169.5931348191029,-6.060464138726116,test
2780809136177157,170.6279001399387,-5.964710638232445,train
2780809413001236,187.2778559687865,-5.902644964630009,train
2780813317898244,60.92310536694801,-5.703242114003898,train
2780814983036943,160.6685255816197,-5.807984024099218,train
2780815029174289,163.3844671183183,-5.778919718631576,train
2780815427633159,187.1266980041424,-5.644526663189309,train
2780821480013840,189.4840217132725,-5.600214855051958,train
2780825284247558,57.12098492227761,-5.143957715357749,train
2780825321996294,59.33442381626327,-5.152000908976473,test
2780826504790018,129.8791827817803,-5.367114885849795,train
2780826852917259,150.7526269273841,-5.31771798172448,train
2780827003912197,159.8117473030522,-5.200972969509879,train
2780827549171714,192.3191174524889,-5.193998127401319,train
2780827612086279,196.118647012202,-5.144040973538181,train
2780827645640713,198.15959063754,-5.36140696815361,train
2780827712749589,202.2893201602566,-5.221988665669492,train
2780831353405442,59.90680151378267,-4.909108748258954,test
2780831386959877,61.68311133987347,-5.001530215954935,train
2780831546343435,71.2064002948514,-5.071051517217238,train
2780832708165636,140.7789005934819,-4.877088009886824,train
2780832724942853,141.8163750604946,-4.922937084064753,train
2780832758497284,143.7251485253256,-4.896904392283456,val
2780833698021399,200.003986779553,-5.054026799427454,train
2780833945485337,214.7650804678826,-5.011278519114813,val
2780839024787461,158.3511433181854,-4.819838519501117,train
2780839200948252,168.9429287839167,-4.673931025374496,train
2780839238696971,171.1618574971513,-4.822050021712026,train
2780839393886217,180.4229903555219,-4.766655176624638,train
2780839532298240,188.5309902981829,-4.639416392736623,train
2780839578435584,191.3050003756715,-4.692749815699176,train
2780839599407120,192.7226899267106,-4.662988956662414,train
2780839645544466,195.508839441413,-4.719405680576931,train
2780840098529302,222.5309384237508,-4.835171585506838,train
2780844880035847,148.264458337639,-4.484456929518232,train
2780844947144712,152.3044491122835,-4.619528239082059,train
2780845022642192,156.918340490414,-4.440162274978672,train
2780845114916872,162.2912700356097,-4.460131249009329,train
2780845135888388,163.541040008403,-4.556586474115363,train
2780845362380803,177.031498341365,-4.401573347227693,train
2780845777616911,201.9938630760269,-4.383682087939939,train
2780845786005527,202.4896515295115,-4.595370050127283,train
2780846075412499,219.7954464498522,-4.552149358350598,train
2780851142131732,162.4464792334286,-4.320105776705578,test
2780851255377920,168.9941959947985,-4.140330802862517,train
2780851578339341,188.4677112478695,-4.148928459629314,test
2780851968409607,211.6160864692599,-4.176379848760126,train
2780851997769731,213.3130858782929,-4.218063445421225,train
2780851997769748,213.4673801876475,-4.161557236573991,val
2780856817025033,141.0410345919574,-3.962684212819441,train
2780856917688327,147.0963356595464,-4.076046501284195,train
2780856955437073,149.4277879418395,-3.987334053973656,train
2780856993185801,151.6856393986419,-3.967079916099201,train
2780857257426960,167.4056550564435,-3.939462475587355,train
2780857362284550,173.5876758710892,-3.964315870092063,train
2780857370673161,174.0824751579325,-3.930461102331241,test
2780857785909275,198.9924523243996,-4.047584459017654,train
2780862919737351,145.3559924910482,-3.856588530704024,train
2780863129452544,157.7354953170401,-3.683794682758432,train
2780863741820945,194.434092645836,-3.682053392066844,train
2780863972507670,208.256374481708,-3.808859786814415,train
2780867529277445,60.53920409523155,-3.622947583402793,train
2780869035032578,150.2456518075979,-3.545606884528323,train
2780869395742723,171.79676460378,-3.597105593908718,train
2780869861310471,199.6114538209027,-3.455550429547798,train
2780869949390853,204.8273466855781,-3.38333567004219,train
2780869957779474,205.5015663192815,-3.403808308085229,train
2780870071025668,212.0684549795388,-3.402071879938325,test
2780870163300352,217.5680141780189,-3.620702219871031,train
2780873434857473,52.89929321205702,-3.155046304217207,test
2780873661349907,66.49180204603014,-3.296397916292555,train
2780873728458762,70.48621190101709,-3.353726913479923,train
2780875393597443,169.820393752481,-3.204201234492448,val
2780875435540486,172.3471363021581,-3.343658715982403,train
2780875515232263,177.0421006914297,-3.15940885503215,train
2780875959828481,203.6016083213428,-3.154814764371592,train
2780881664081924,183.8425411154194,-2.945859494171151,val
2780882402279431,227.8206850633839,-2.884932582093208,train
2780885514452993,53.28993023160722,-2.768709908212633,train
2780887619993602,178.8756539235678,-2.647125814213719,train
2780887750017043,186.6675686389867,-2.839977656812494,train
2780887880040463,194.4479956039231,-2.744348803858369,train
2780888320442370,220.5242779299995,-2.800847833922775,train
2780893370384390,161.6255883584412,-2.577857949592833,val
2780893882089476,192.0516130848171,-2.428317805387747,val
2780893970169859,197.3004457123105,-2.484728989580264,train
2780893978558468,197.7699566837212,-2.47427031297291,train
2780897577271296,52.25708289764857,-2.319752648450641,val
2780897652768768,56.75038847817549,-2.323258952978572,train
2780899137552387,145.4096312332933,-2.172715541525394,train
2780899166912529,147.2153503956832,-2.359949231998393,train
2780899741532163,181.3422626501323,-2.186191336380545,test
2780899812835343,185.6577656159273,-2.175725598567039,train
2780900043522057,199.347706858159,-2.190528540105406,train
2780905479340035,163.2847783076095,-2.051873462097223,train
2780905609363456,171.0179597955643,-2.055141801022536,train
2780905613557766,171.3704133106343,-2.061330100176119,train
2780905655500806,173.8438269994597,-2.060611881447403,train
2780906024599571,195.9461338764068,-2.032208381250034,test
2780906028793864,196.1210464537189,-2.095257096905231,test
2780906108485651,200.962847107549,-2.0453591223768,train
2780906393698314,217.8442402906166,-2.119119987151571,train
2780909619118086,50.23267318613961,-1.708114489870304,test
2780909623312388,50.27629057299374,-1.835466048711701,train
2780909975633945,71.45991321465526,-1.644249004472351,train
2780911439446028,158.6915615450942,-1.869527872641761,test
2780911439446033,158.7412565345459,-1.864229626380153,train
2780911716270088,175.137914128129,-1.712717331227942,val
2780912026648579,193.5746618188907,-1.813150134691475,train
2780912085368849,197.1980168810776,-1.655287768149278,train
2780912093757458,197.6591305308008,-1.78900646274109,train
2780912160866310,201.6063720056037,-1.705075231310408,train
2780912223780871,205.3430994323043,-1.775026431978616,train
2780912282501128,208.930592330583,-1.845790204680652,val
2780912437690376,218.0991982390187,-1.806439243333426,val
2780917336637452,150.2076710518697,-1.534556412862101,train
2780917483438085,158.7922296474514,-1.568326538732534,train
2780917496021000,159.6689718458437,-1.485287135760915,train
2780917886091267,182.8579446184318,-1.585501374680427,train
2780918074834955,194.1614618109943,-1.596976333762182,train
2780918150332451,198.7422763664121,-1.593501770851929,train
2780918334881799,209.6080584541273,-1.421055501970421,train
2780918397796358,213.3293232119047,-1.375898365889004,test
2780921983926275,67.1348490896099,-1.164875766369509,val
2780923246411778,142.2648855556645,-1.340394256797246,train
2780923254800395,142.9610054584823,-1.193693578267869,train
2780923347075073,148.2933370716954,-1.137636934288259,train
2780923699396627,169.4339008139143,-1.243389853668331,train
2780924022358017,188.5171397410456,-1.145881056045938,train
2780924055912464,190.73581323604,-1.280897302678451,val
2780924135604253,195.4865552622516,-1.126568756044201,train
2780924349513730,208.0145914193633,-1.286894098946485,train
2780924391456783,210.6831489789723,-1.311250014482002,train
2780927742705664,50.25311521462984,-0.9798897248705972,train
2780929160380425,134.8170963663589,-0.9933750563362366,train
2780929202323465,137.3751334634135,-1.044383811382748,train
2780929361707009,146.7629950918424,-0.9308265779212462,train
2780929588199434,160.344741475185,-0.9387975241845804,train
2780929839857666,175.322172772993,-1.053431498952625,val
2780929940520977,181.4531032616626,-1.075834984658604,train
2780929957298193,182.453757731678,-0.9848649508160364,val
2780930271870994,201.152311448026,-1.033159751878675,train
2780930380922887,207.6223950990033,-0.9521143026389792,train
2780930422865923,210.0336616480777,-1.062924711845772,train
2780930527723544,216.4488361516664,-0.9228532568771682,train
2780930590638117,220.2328371047624,-1.111676939445568,train
2780935560888323,156.337990372544,-0.8604009748891488,train
2780935862878216,174.3511812841471,-0.7428156496420297,train
2780936005484544,182.7546142965316,-0.6738800281246078,val
2780936290697225,199.8535664408665,-0.6285861730332959,train
2780936328445952,202.0103890379438,-0.8139878281934736,train
2780936349417487,203.4776877155922,-0.7309726185460985,train
2780939822301191,50.42848870282138,-0.5404986807814844,test
2780939851661316,52.08309913599489,-0.5885595030690236,val
2780941814595591,169.143087748978,-0.4304792996355514,test
2780941923647499,175.6244266984671,-0.461202589340001,train
2780942095613965,185.8623492681545,-0.5371556293011391,val
2780942330495000,199.9899392745082,-0.5796251691758323,train
2780942334689285,200.0534612309044,-0.5497765027713826,train
2780942422769671,205.3453121387663,-0.3794012940419623,train
2780947418185731,143.0445474866667,-0.2387998561651076,train
2780947732758535,161.810625738815,-0.1416492629073657,train
2780948080885762,182.5471967321751,-0.3526941651799351,train
2780948168966157,187.9178787397469,-0.2754574357798569,train
2780948257046548,193.2371233891589,-0.1813289474634877,train
2780948340932614,198.0987673552085,-0.2108564870735524,train
2780948395458567,201.3508578881783,-0.1648821938604298,test
2780948508704773,208.1325589108415,-0.3076924018872423,train
2780951901896704,50.27180119703874,-0.0764689493748979,train
2780953340542977,136.1232956767597,-0.0713852450583567,train
2780953990660105,174.9481286946328,0.0546636234966551,train
2780954137460742,183.6444578606219,-0.0695076676865038,train
2780954372341760,197.5544066842255,-0.0609821741576354,train
2780954661748746,214.9576382938385,-0.1121307128566683,train
2780959313231888,132.2197324213341,0.1905237133462482,train
2780959401312257,137.2551506317856,0.2514469647494434,test
2780959988514831,172.4791777681222,0.3037146595931491,train
2780960080789518,177.9680668428129,0.1831774018521461,train
2780960391168008,196.3251266071058,0.2301379865385118,test
2780963973103621,49.89804239166196,0.4044765277918262,val
2780965910872079,165.4532008744578,0.4560933732737998,train
2780965973786630,169.0795668854306,0.5902428550937658,train
2780966007341067,171.1654964985959,0.405458349908238,val
2780966103810052,176.8300960824179,0.564211877484425,train
2780966359662592,192.0051708870235,0.5710982635839096,val
2780966653263882,209.6364120171885,0.3916482505304951,train
2780966804258822,218.5655941571331,0.5195118936889668,train
2780966871367707,222.7054838109333,0.5341026753723489,val
2780966930087963,226.1818591180858,0.5666328809608787,train
2780971514462211,139.3795112959389,0.6386793396862906,train
2780971900338186,162.4200049399184,0.7298656336601089,train
2780972017778692,169.2869186265036,0.7196461345344377,train
2780972110053387,174.8307402202785,0.759105191118814,train
2780972122636294,175.5782240739501,0.7344969769226332,train
2780972609175557,204.5773634304506,0.8210480531900357,train
2780977868832770,158.0147807948154,0.9742198589644062,train
2780977881415689,158.8960830586088,0.9932701988947064,train
2780978044993542,168.5899968796296,0.8835807967093424,train
2780978200182790,177.8446178738223,1.037594779809532,val
2780978363760650,187.6167683052325,1.123255380726675,train
2780978569281545,199.8716992086516,1.091698819366547,train
2780978682527752,206.5624700568966,0.9516946237401944,val
2780978778996736,212.2583621373279,0.877547663259312,train
2780983552114691,136.7617242019361,1.295653986933269,train
2780984223203332,176.8315230993814,1.263847638737023,train
2780984227397633,177.0145965252763,1.355335814893755,train
2780984239980552,177.8722559830757,1.149966890509643,val
2780984399364100,187.2983585033863,1.256358265782571,train
2780984483250184,192.3771312301232,1.281467679287298,train
2780984529387539,195.1851409243068,1.231139838917003,train
2780984550359062,196.4726440193179,1.361678682597951,train
2780984755879942,208.5509183815052,1.140441613078526,train
2780984927846412,218.8347422697991,1.211731202046393,train
2780989495443466,131.1138078981067,1.573824443291069,train
2780989629661186,139.0135200037236,1.462103821814724,train
2780990367858703,183.2444303159338,1.524218201641024,train
2780990388830209,184.2856218066444,1.585432803878056,train
2780990741151747,205.2699351933572,1.48432383938053,train
2780995589767174,134.3107922420655,1.659729786416887,train
2780995765927937,144.7892792841733,1.742656562309244,train
2780995950477316,155.7898442725382,1.755523543038233,train
2780996336353296,178.9317314612776,1.739091515136578,val
2780996646731779,197.3218607846718,1.651532218192909,train
2780996789338120,205.8238285236651,1.740792234503119,train
2780996797726726,206.3027555425273,1.846115898541987,test
2780996835475459,208.5302640617133,1.806257015627203,test
2780996969693198,216.6079052241978,1.756672663307992,train
2781001927360515,152.0427108643445,1.945063221059939,train
2781001948332042,153.3725677400954,1.90550222879005,train
2781002485202947,185.2915886310963,2.067453948797481,train
2781003093377041,221.7423818199294,1.94561097907486,train
2781007816163329,143.0062618501636,2.200938797667074,train
2781008055238658,157.2801346029928,2.264605045105716,train
2781008181067780,164.841931637517,2.212452718271987,train
2781008411754502,178.6131688996202,2.179605080011908,train
2781008545972235,186.643266766702,2.361663597626081,train
2781008889905168,207.2262582866162,2.240656948944279,train
2781008923459591,209.0783310160803,2.15359722555634,train
2781008931848196,209.5192431814491,2.355051918971678,train
2781014623518735,188.9801521585894,2.544540129830262,train
2781014636101652,189.723106186658,2.561474238353755,train
2781014749347857,196.4741835760724,2.452332736200176,train
2781014883565572,204.2862714076711,2.615723865794305,train
2781014921314305,206.5210090356706,2.542898795864596,train
2781020130639877,157.0812114074796,2.682232274928312,train
2781020344549388,169.8788364416818,2.735329993330804,train
2781020415852550,174.109025185123,2.771546537442656,train
2781020516515844,180.0740027139051,2.669479993767803,train
2781020667510785,189.0439978790064,2.704226158124523,val
2781020881420288,201.7501562053847,2.868208674098042,train
2781021036609558,211.1561045762777,2.800563109923857,train
2781026170437643,157.2239343469292,2.922622312827138,train
2781026845720598,197.4955802173629,3.004201959459291,train
2781032696774661,186.3623337450514,3.133815564343877,train
2781032797437963,192.3921644895411,3.203105340066326,train
2781033002958850,204.5982610424828,3.226730761753915,train
2781033070067725,208.6983371790669,3.238238937613057,train
2781038472331276,171.2157160699141,3.536993379586926,val
2781038501691398,172.8283485983481,3.598151471240771,val
2781038514274307,173.538428986263,3.391503484544387,train
2781038992424970,202.1511285824598,3.464842055281941,train
2781039210528769,215.0751648582353,3.592018148053532,val
2781044268859399,157.0509879854315,3.715034693876176,train
2781044352745475,162.0768746094871,3.786770340522677,val
2781044428242956,166.7227600360087,3.836662940156331,train
2781044902199318,194.9834251339398,3.684059102718128,train
2781044927365128,196.3661822484514,3.849034485406456,train
2781044944142341,197.3655122731518,3.707129820230529,train
2781044981891080,199.6048844361135,3.809183380034867,val
2781050279297027,155.7703054858712,3.969843682704291,train
2781050522566665,170.3744841448148,3.906275185880591,train
2781050681950213,179.8286021731257,3.908172772698962,train
2781050681950214,179.8296519121426,3.9309208885591,train
2781051155906577,208.161086499125,4.106209464020647,train
2781051273347092,215.2730079351871,4.103131834804843,train
2781051369816084,221.0280012656337,3.93123958547659,val
2781056008716293,137.7278919195143,4.213455176724336,train
2781056247791626,152.1807179347761,4.206630233134569,train
2781056449118213,164.1128981690524,4.358222099467597,train
2781056528809996,168.9017191122905,4.160674847142587,train
2781056889520140,190.4787203790012,4.153241271360811,train
2781057166344216,207.0106744715979,4.30226131642993,train
2781057233453069,210.9475365466986,4.334650009056473,train
2781062136594440,143.8526878926696,4.445448185671992,train
2781062329532417,155.2446120894504,4.386912159922719,train
2781062371475464,157.9191101254334,4.511617578330521,train
2781063130644483,203.1096709095598,4.5215364482164,train
2781063197753349,207.1554680427407,4.395370512783701,train
2781063327776780,214.9716030286138,4.471595334723345,val
2781068344164354,154.7619957380307,4.653910908541677,val
2781068969115664,192.238345603635,4.757669112848073,train
2781069287882760,211.2018797905008,4.826782676343255,train
2781069447266313,220.7362535478181,4.760012576524828,train
2781074681757703,173.7280277694122,4.942135983171329,train
2781075281543176,209.5718488651929,4.99921620815487,train
2781075411566608,217.1751265353628,5.034902878138543,train
2781080499257357,161.4159761911115,5.156943923474982,train
2781081149374481,200.2991083541658,5.143135491921037,train
2781081153568779,200.4470850904438,5.177912221740068,train
2781081291980802,208.6255454058295,5.125990351013594,train
2781087214338062,203.0636744488347,5.392593387264129,train
2781087524716555,221.57818277217,5.558913715885314,train
2781091991650334,129.0018621034025,5.674847987644803,train
2781093245747200,203.8654864525005,5.625910965221862,train
2781098085974016,133.5629058809589,5.904084182074724,val
2781104478093317,156.4469959325353,6.33228551506899,train
2781105115627534,194.8156229393325,6.363333321544422,train
2781105136599043,195.8610030805932,6.155471877015174,train
2781105136599058,196.0752126069557,6.156203650584334,train
2781110488530946,156.7066825185279,6.377984246751504,train
2781111138648075,195.7291165091051,6.397369337977728,train
2781111457415183,214.9052889883407,6.404069707280996,train
2781117295886336,204.6504595546817,6.806210325945008,train
2781122299691020,144.9942784185402,7.092799823559102,train
2781123151134739,196.1086522455537,7.007579584426128,train
2781123218243587,199.9348121219777,7.069471518192613,train
2781123302129686,205.1544959014221,7.044706146967469,train
2781123331489799,206.9006780799814,6.91140793812589,train
2781123411181571,211.5100374551976,6.954355110150808,train
2781128612118534,163.7094982769013,7.139551317716726,test
2781128616312841,164.0924297826908,7.214051226777694,val
2781129430007812,212.8037939183669,7.31461535700073,train
2781134261846033,142.9672528337626,7.517983372118344,train
2781141404745738,211.8882529366527,7.780330515315456,test
2781141434105867,213.741213115052,7.696853499903818,train
2781141480243218,216.4851790678046,7.633479378141187,train
2781147276771333,204.79501053147,8.006803753989036,train
2781152515457035,159.9530184504989,8.33998661219195,train
2781153199128590,201.1791822826945,8.14148277497238,train
2781153450786819,216.13601375565,8.218060941171972,train
2781158479757315,158.9173265499686,8.537631621939312,train
2781159100514310,196.2625597103122,8.449652110851241,train
2781159301840901,208.3323729443333,8.432958449206504,train
2781159410892801,214.880283343084,8.428540556027686,train
2781164255313923,146.685458582186,8.69051068009277,test
2781165115146255,198.6733323961942,8.784517699994506,test
2781165366804482,213.6731130492059,8.713841258788511,val
2781171138166795,201.6757177410136,9.034125155680902,test
2781177219907594,208.4749994609758,9.222186244311107,train
2781177354125320,216.5748373495616,9.173307602605028,train
2781182148214785,145.8623895254865,9.386131975733644,test
2781182529896454,168.9760323244014,9.416391354415731,train
2781189114953739,206.8046342026048,9.79199918607388,train
2781194953424901,199.6671331207555,9.953579777455207,train
2781195192500224,213.9952983697448,9.87918407466188,train
2781195196694538,214.2436584236795,10.10289440171288,train
2781200271802377,161.4638519889365,10.18334263912612,train
2781212896657414,205.7458828307261,10.83858216839488,train
2781235864666114,159.8944403137712,11.85444635409204,train
2781271281369098,159.938179926973,13.16104341260619,train
2781289451094023,193.0087529220644,14.00267173009777,val
2781305989234707,129.3614339070427,14.67768191134802,train
2781358300594177,126.4765842273248,16.95217463088734,train
2781427175260161,127.2843187189949,19.88172785611797,train
2781439716229120,202.4102584922152,20.5609866735301,train
2781566094802957,118.0551992424941,26.14109819606027,test
2781566107385875,119.0162963043341,26.29674975737548,val
2781598403526663,114.348638619708,27.64846195292386,train
2781636215177217,157.222880919898,29.4263291230277,train
2781693324820481,154.6611512776413,32.35571745429005,train
2781693329014784,154.9433183919207,32.16572918409346,train
2781693463232524,164.6453360706769,32.34402430547077,train
2785183203852288,173.2649975161642,-6.97960880958886,test
2785364032880640,169.9700813024815,0.4544067579111499,train
2785467028209664,192.8729459798542,4.778225849448237,train
2785545457500161,212.8461272479303,8.01179235379099,train
2789543308689408,53.18747,-8.433452,train
2789543308689409,53.18793052,-8.433555156,test
2789683633324032,174.0276,-2.716496,train
2789995907645442,133.6205,10.1365,test
2790373034295297,118.7361224,26.79845105,train
2842154586079234,63.22989716791361,-15.39339811735938,train
2842201415483392,63.94040453175266,-13.48779036503459,train
2842230582673409,45.81489425628888,-12.22496462538671,train
2842266511081477,69.55910094809516,-10.79584291240229,test
2842316201000965,192.2592055923895,-8.664432813966735,train
2842325633990656,40.27002894868936,-8.255789260913339,train
2842325642379264,40.80811510966922,-8.125040967263788,val
2842339273867264,140.6545065901763,-7.750507036462026,train
2842345477242880,153.2574668945337,-7.534213268871526,val
2842351466708995,152.5744102132599,-7.145489256848356,train
2842363386920960,147.9792807742367,-6.822941216864065,train
2842363537915904,156.9945372142295,-6.79899559746703,train
2842368013238276,65.12081959620626,-6.418616351942727,train
2842369095368704,129.9982014760762,-6.561799922913654,train
2842369430913024,150.2297097166396,-6.388535895828417,train
2842373939789828,60.57702833594166,-6.320276048370846,train
2842382026407936,184.9377877247373,-5.947594195591208,train
2842382387118084,206.4739535217654,-6.036496698633186,train
2842387864879104,174.2901974790706,-5.783680799324969,train
2842394240221184,196.0545170456489,-5.551551216292958,train
2842394248609792,196.5345701287502,-5.377824487253733,train
2842398119952385,67.99419963020323,-5.369773548337252,val
2842399449546753,147.4134721098195,-5.166494678210601,test
2842399961251840,178.1589989716256,-5.207015746242644,test
2842415840886785,47.36080263376954,-4.553674976879089,train
2842417204035586,128.6677801404443,-4.44525251899049,val
2842423524851712,146.3443519510286,-4.139531926458455,train
2842428054700033,56.61347857213196,-3.968842168030368,train
2842429367517191,135.058778224309,-3.875688171035571,train
2842429686284293,154.140038618682,-3.931791269869806,train
2842435575087105,145.6387116405021,-3.699171451180717,train
2842436162289664,180.6889124951034,-3.789214096397712,train
2842436300701698,188.8728847695708,-3.793174860496052,train
2842441770074112,155.4177239589218,-3.453831356672644,train
2842442340499456,189.4162366185656,-3.587895038419365,test
2842448560652290,200.6027968289806,-3.20220511154377,train
2842448715841536,209.8532395514221,-3.209210444554303,train
2842459864301570,154.666848702232,-2.630860208115344,train
2842460673802248,202.9411514037622,-2.713056937760562,val
2842460795437058,210.155012207545,-2.857826309468562,train
2842465467891713,128.6389253206082,-2.546808865999698,train
2842466591965189,195.7190997841326,-2.516388518015114,train
2842471478329344,126.8922666809574,-2.212988039158042,train
2842478344404999,176.1084026247729,-1.957086908632106,train
2842478759641090,200.9031443854539,-1.970683734824502,train
2842479065825281,219.1465055257565,-2.08219049526557,train
2842484329676801,172.8694404200371,-1.842622107943854,train
2842484828799006,202.5479276082196,-1.663130106721225,train
2842494375034889,51.63239264766947,-1.217991538413042,train
2842502696534017,187.5399839230721,-1.045677143799442,train
2842503103381511,211.911952653223,-0.9553139302696122,train
2842508061048832,147.4282450618603,-0.8400791052035375,train
2842508165906439,153.6648297232028,-0.8309164333597787,val
2842508895715328,197.2088021349406,-0.8173277624667481,train
2842509168345094,213.3857225935558,-0.8443748711185253,train
2842514306367491,159.7184285837649,-0.5135639374490673,train
2842514717409280,184.1544429371095,-0.3778129178894957,train
2842521159860224,208.1859641139825,-0.2572731414014312,train
2842521478627344,227.2248083065001,-0.1969510398157427,train
2842526151081985,145.6222725776519,0.0346403942785835,train
2842527291932673,213.6978273227439,-0.0031232675648599,train
2842527442927616,222.7489095884481,-0.0374323780130839,train
2842532786470914,181.0901882427286,0.1824840649119759,train
2842538352312321,152.9365610943705,0.4078181795023408,val
2842542961852419,67.66642269505367,0.6617007939853141,train
2842556979216386,183.2171475353631,1.299694382515313,train
2842563350364166,202.9085766621339,1.531435571004752,train
2842575065055237,181.112776404908,1.896004723684248,train
2842581310373888,193.3714949385526,2.168333919891185,train
2842581616558081,211.5391624244099,2.331131397205085,train
2842587211759616,185.0307535371802,2.408781179913632,train
2842587421474822,197.5671283434824,2.606661374145419,train
2842587543109632,204.7544331425833,2.38261022113542,train
2842593633239042,207.9964569064722,2.842776714887078,train
2842598985170961,166.9473806507034,3.001693796734937,train
2842605633142787,203.4770278178486,3.283525893577154,train
2842605805109250,213.7139852291975,3.130903032445026,train
2842605847052293,216.2729433614115,3.233111278790171,val
2842611085737990,168.7484822692993,3.60211018817876,test
2842611391922177,187.2460140396507,3.570685293699081,train
2842622720737280,143.2483434764553,4.085014494249368,train
2842623849005061,210.7704257201952,4.000817460676124,train
2842628458545186,125.8780380407929,4.299500185482906,train
2842629377097732,180.5956797382821,4.329794430597333,test
2842634489954313,125.9032033874126,4.384016119724517,train
2842653645340672,190.8493031992653,5.246236103067194,train
2842654127685634,219.7961802343441,5.363468481207749,test
2842660154900481,220.40607619741,5.520700645668708,train
2842665578135555,184.8467523806786,5.824927040701851,train
2842677599010820,184.5337278844813,6.139549783493301,train
2842689498251271,177.8041568260665,6.684977273229183,train
2842701636567045,186.1178441804841,7.317860528590233,test
2842712936022017,144.5511080392135,7.7277624484156,train
2842808545181702,161.6905243022476,11.82013569023116,train
2842901843279881,120.4049936445378,15.70975691151128,train
2842966112600064,162.9239659499644,18.48080001441039,train
2843106839887872,175.0580612626839,24.69702217740979,train
2843171235037184,126.5752551236674,27.84010692820853,train
2843234472558592,117.6580981836796,30.81903305289809,train
2846912885555201,191.2852813146899,-0.4617207029521843,test
2851206317735936,71.6247574220216,-4.78891792585476,train
